Population,YEAR,Years_Since,Sex,Age,Total_Length,Heart_Girth,Skull_Width,Mass
SB,2001,20,F,11,219,120,20.6,213.6
SB,2001,20,F,1,171,96.6,15.7,108.9
SB,2002,21,F,2,198,104.5,18.5,141.5
SB,2001,20,M,8,243.5,135.5,23.8,340.2
SB,2006,25,M,13,244,151,26.5,399.2
SB,2001,20,M,0,76,41.3,9.3,10
SB,2001,20,M,0,151,86,15,88.5
SB,2002,21,M,1,180,89,16.5,113.4
SB,2001,20,F,1,161.5,81.2,15.1,74.8
SB,2006,25,M,6,247,125,23.1,267.6
SB,2010,29,M,10,258,164.5,25.7,420.5
SB,2001,20,M,5,237,121,21,235.9
SB,2001,20,F,8,239,110.5,21.4,190.5
SB,2001,20,F,11,237,112.5,22,195
SB,2001,20,M,0,92.5,47.2,10.6,17.2
SB,2001,20,M,0,136,67.5,12.7,53.5
SB,2001,20,F,0,92,43.5,10.6,15.4
SB,2001,20,F,0,138,64.5,12.9,50.8
SB,2001,20,F,18,232,118.7,21,201.8
SB,2006,25,F,5,207.5,116,18.3,172.4
SB,2010,29,F,9,218,108.5,20.2,147.4
SB,2009,28,F,8,211,104.5,19.4,159.7
SB,2001,20,F,0,82,39.6,10.1,13.2
SB,2001,20,M,0,93.5,50.5,11.1,21.8
SB,2002,21,M,4,193,105,17.7,140.6
SB,2002,21,M,2,212,104,17.8,155.1
SB,2002,21,F,5,205,96.5,17,129.3
SB,2002,21,M,18,278,175,28,458.1
SB,2002,21,M,0,86,44,10.2,14.1
SB,2002,21,M,0,97,48.6,11.1,19.1
SB,2006,25,M,4,251,133.5,21.8,249.5
SB,2002,21,F,0,84,42,10,13.2
SB,2002,21,M,0,86,43.5,10.3,14.1
SB,2002,21,F,2,207.6,108.2,16.1,124.7
SB,2002,21,M,2,205.6,115.5,18.7,157.9
SB,2006,25,M,6,253,122,22.1,249.5
SB,2009,28,F,13,224,110.5,21.1,173.3
SB,2002,21,M,0,93.5,48.5,11,18.1
SB,2002,21,F,0,92.5,48,10,16.8
SB,2002,21,M,0,95,47.5,9.9,18.1
SB,2002,21,F,0,97,45.7,10.5,18.1
SB,2002,21,F,7,219,107.5,20,186
SB,2002,21,F,8,218.4,107,19,199.6
SB,2002,21,F,0,80,38,9.7,11.8
SB,2002,21,F,0,80,42.5,10.2,10
SB,2002,21,M,5,220,111.5,18,158.8
SB,2008,27,M,11,253,145.5,23.7,339.7
SB,2002,21,M,19,269,156.8,26.6,415.5
SB,2002,21,F,12,211,105.5,19.8,154.2
SB,2002,21,M,1,169,78,15.5,78
SB,2002,21,M,8,230,139.5,22.6,326.6
SB,2002,21,F,7,233.5,115,20.9,189.6
SB,2007,26,M,6,255.5,134.6,22.8,344.7
SB,2002,21,M,11,260.5,152.5,24.1,390.1
SB,2008,27,F,8,217,106,19.5,127.5
SB,2002,21,F,2,196,92.5,16.3,97.5
SB,2008,27,M,12,268,137,26.4,349.3
SB,2009,28,M,13,271,143,24.8,356.1
SB,2002,21,F,9,223,108.5,20.6,168.7
SB,2002,21,M,14,262,163,26,451.3
SB,2007,26,M,19,267,162.4,25.7,458.1
SB,2002,21,F,3,195,90.5,16.5,102.1
SB,2002,21,F,11,229,118,20.5,210.9
SB,2002,21,F,15,219,116,20.7,183.7
SB,2002,21,F,13,224,110.5,20.3,163.3
SB,2009,28,M,7,256,145.5,24.4,318.4
SB,2010,29,M,8,254,154,25.2,373.8
SB,2002,21,F,21,234,130.5,21.5,220.9
SB,2002,21,F,1,175,92.5,15.4,93.9
SB,2002,21,F,1,163,96,15.9,90.7
SB,2002,21,M,10,255.5,146,24.3,310.7
SB,2002,21,F,7,223,113,19.6,199.6
SB,2007,26,F,12,217,119,20.1,206.4
SB,2008,27,F,13,225,124.5,20.4,196.9
SB,2002,21,F,4,222,113,19.2,183.7
SB,2002,21,F,6,223,98,19.8,163.3
SB,2002,21,M,6,236,120,21.4,242.7
SB,2002,21,M,5,231,124.8,19.7,225.9
SB,2007,26,M,10,264,155,24.4,391.9
SB,2009,28,M,12,275,155.1,25.7,396.9
SB,2002,21,M,7,261.8,132,22.3,263.1
SB,2002,21,F,5,216.5,108,18.7,140.6
SB,2002,21,F,5,208,97,18.5,152
SB,2008,27,F,10,215,116,20,189.6
SB,2002,21,F,4,206,102.5,18.6,174.6
SB,2002,21,F,9,209,116.5,20,215.5
SB,2002,21,M,8,233.5,127.2,21.7,238.1
SB,2007,26,M,13,245,155.6,24.1,354.7
SB,2003,22,M,8,250,131,23,263.1
SB,2009,28,M,14,253,143.5,25.1,340.2
SB,2003,22,M,16,269,158.5,23.8,435.4
SB,2003,22,M,7,237,120,21,238.1
SB,2003,22,M,5,230,130,19.7,244.9
SB,1991,10,F,7,213.5,124.3,18,213.2
SB,1991,10,F,1,166.5,84.3,15.7,68
SB,1991,10,F,8,215.5,115,19,136.1
SB,2001,20,F,18,220,116.5,19.5,166.9
SB,1991,10,M,0,72,44.5,10,10
SB,1991,10,M,0,76,47.9,9.8,10.9
SB,1993,12,F,2,190,100,16.9,127
SB,1991,10,F,16,192.5,105.5,20.1,158.8
SB,1991,10,F,0,81,46,10,12.2
SB,1991,10,M,0,84,49,10,15
SB,1991,10,F,1,175.5,86,15.8,99.8
SB,1991,10,M,1,167.5,75,14.8,68
SB,1991,10,M,1,155,75.5,14.4,70.3
SB,1991,10,F,1,168,87,14.5,81.6
SB,1991,10,F,1,166,78.5,14.5,74.8
SB,1991,10,M,0,94,55,11.2,20.4
SB,1992,11,M,1,182,84.5,16,95.3
SB,1991,10,F,0,95,55,10.2,19.5
SB,1994,13,F,2,192,100.1,16.2,140.6
SB,1992,11,F,0,93,43.7,11.2,14.5
SB,1992,11,M,0,89,45.5,10.4,14.1
SB,1992,11,M,11,266.4,138,25.8,326.6
SB,2000,19,F,8,226,108,19.5,131.5
SB,2001,20,F,9,227,112.7,21.2,173.3
SB,2002,21,F,10,226,109.4,19.4,156.9
SB,1992,11,F,8,216.2,107.2,20.1,159.7
SB,2009,28,F,25,224,133,21.2,186
SB,1992,11,M,8,250,133.9,23.2,298.9
SB,2009,28,M,25,266,152,25,401.4
SB,1998,17,F,12,212.5,119.5,21.5,222.3
SB,1992,11,F,6,218.5,111.5,20.3,154.7
SB,1992,11,M,0,98,48.4,11.1,22.2
SB,1992,11,F,1,157,86,14.7,83.9
SB,1992,11,M,1,162,92,16.5,93
SB,1992,11,M,7,227,111.5,19.6,217.7
SB,2002,21,M,17,252,164,25.8,419.6
SB,2008,27,M,23,251,149,25.8,379.7
SB,1992,11,F,1,157,72.5,13.4,59.9
SB,1992,11,F,1,160,77,13.8,68.9
SB,1994,13,F,3,211.5,110.5,17.2,189.6
SB,1992,11,F,7,218,99.4,19.4,157.9
SB,2001,20,F,16,224.5,108.6,20.3,167.8
SB,1992,11,M,13,275.5,164.1,27.9,480.8
SB,1992,11,F,1,167,85.2,15,79.4
SB,1992,11,F,1,165,81,15.3,82.1
SB,1994,13,F,3,203.5,124.8,19,216.8
SB,1992,11,F,7,234.5,108.1,20.4,156.5
SB,1992,11,M,0,76,36.8,9,10
SB,1992,11,F,0,75.4,37.5,9.1,11.3
SB,1992,11,F,7,216,118,18.7,191.4
SB,1999,18,F,14,222.5,131.3,20.1,197.3
SB,2007,26,F,22,223.5,133.5,20.9,231.3
SB,2009,28,F,24,230.5,109.6,20.5,158.3
SB,2010,29,F,25,227,120.5,20.9,204.6
SB,2001,20,F,16,219.5,129,20.1,196
SB,1992,11,M,7,248,123.6,22.2,250.8
SB,1997,16,M,12,274,155,27.4,394.6
SB,1992,11,F,4,207,95.5,18.8,118.8
SB,1992,11,F,9,203,103.3,19,147.4
SB,1992,11,M,1,156.5,75.3,14,65.8
SB,1992,11,F,1,146.5,67.5,13.2,49.4
SB,1992,11,F,0,82,40.6,9.7,13.2
SB,1992,11,F,11,212.5,101.6,19.2,158.8
SB,1992,11,F,0,88.8,44.9,10.2,14.1
SB,1992,11,F,0,89,44,10,13.6
SB,1993,12,M,2,208.5,98,17.5,140.6
SB,1994,13,F,4,220,117,18.6,199.6
SB,1999,18,F,16,235.9,131.7,22.8,242.7
SB,2001,20,M,7,259.5,146.5,27.2,352.9
SB,1994,13,F,4,210,117.8,18.9,204.1
SB,1994,13,F,3,198.5,113,17.5,166.9
SB,1994,13,M,3,219.5,116.7,18.5,220
SB,2001,20,M,10,260,167,24.1,449.1
SB,1994,13,F,3,214,133.6,19,263.1
SB,1994,13,M,2,234,124.5,20.6,235.9
SB,1994,13,M,2,219,113.2,19,210.9
SB,1994,13,F,3,211.5,115,18.7,197.3
SB,1994,13,F,0,144.5,68.2,13.4,61.2
SB,1994,13,F,1,180,92.9,16.1,121.6
SB,1994,13,M,1,194.5,103.5,16.6,147.4
SB,1994,13,M,3,218,131.9,18.8,240.4
SB,1994,13,M,0,153,96,14.6,98.9
SB,1994,13,F,2,211.5,116.2,17.6,172.4
SB,1994,13,M,3,234.5,128.2,20.7,258.5
SB,1994,13,M,1,203,105,18.5,183.7
SB,1994,13,F,3,208,119.5,18.3,209.1
SB,1994,13,M,2,224,132.4,19.9,253.1
SB,1994,13,M,6,240,136.7,23.1,311.6
SB,1994,13,M,3,227.2,123.3,19.6,226.8
SB,1994,13,F,0,139,78.2,13.8,68
SB,1999,18,F,5,204.3,108.5,18.5,131.1
SB,1994,13,F,0,146.5,73.6,13.5,66.2
SB,1994,13,F,2,210.4,108.2,17.9,169.2
SB,2002,21,F,5,228,120,20,210.9
SB,2006,25,F,9,221,115.5,21.4,206.4
SB,2008,27,F,11,234,117,21.5,205
SB,2009,28,F,12,226,129.8,22.1,225.4
SB,1997,16,F,0,133.5,70.8,12.9,49
SB,2000,19,F,3,218,143.5,19.5,274.4
SB,2001,20,F,4,228.5,118.1,20.2,172.4
SB,2001,20,F,4,226,139.5,20.9,297.1
SB,2002,21,F,5,228,119.7,20,173.3
SB,2010,29,F,13,230,115,20.7,165.1
SB,2009,28,F,12,231,119.5,20.6,207.3
SB,1997,16,F,0,135,67.5,12.6,44.9
SB,2000,19,F,3,218,129.5,18,220
SB,1999,18,F,3,219,113.5,18.5,190.5
SB,1999,18,F,3,219.5,149.7,19.1,247.2
SB,1997,16,F,1,193.8,109.5,16.9,159.7
SB,2000,19,F,4,226,136.5,20.1,288
SB,2000,19,F,6,231,109.2,19.8,175.5
SB,2001,20,F,7,223,114,20,198.7
SB,1997,16,F,3,211.5,129,18.9,223.6
SB,2001,20,F,11,218,133,21,265.4
SB,1998,17,F,8,219.5,118,20,191.9
SB,1997,16,M,1,199,119.5,17.3,183.3
SB,1997,16,M,1,183,115,16.4,154.2
SB,2010,29,F,14,229,111,22.8,187.3
SB,1997,16,F,1,184,97,17.4,122
SB,1998,17,F,2,193,100.2,18,147.4
SB,1997,16,M,1,191,107.5,17,163.7
SB,1998,17,M,2,193,92.9,17.5,117
SB,2000,19,M,4,236.5,118.8,21.1,240.9
SB,2007,26,M,11,259,154.5,25.2,376.9
SB,2009,28,M,13,261,147,25.6,378.7
SB,2010,29,M,14,270.5,155,26.3,374.7
SB,1997,16,F,1,178.5,104,16.4,139.7
SB,1997,16,F,3,219,126.3,18,217.7
SB,1997,16,M,0,154,92,14.8,99.3
SB,1997,16,M,0,148,91.5,14.2,97.5
SB,1997,16,M,3,253,164.2,21.8,360.6
SB,1998,17,F,0,72,36.4,9,8.6
SB,1999,18,F,15,210,113.7,19.8,181.4
